IDs;Word;ARPA Pron;Real Word Flag;Joy;Sadness;Anger;Disgust;Fear;Surprise
318;weathe;w iy dh;0;0.2917;0.8333;0.5;0.5208;0.6667;0.6875
319;whalk;w ae l k;0;0.6458;0.3333;0.2708;0.3125;0.5417;0.5625
320;wheuth;w uw th;0;0.6875;0.4375;0.5;0.5417;0.5208;0.625
321;whoal;w ow l;0;0.6458;0.4375;0.3333;0.375;0.3542;0.7292
322;wholk;w aa l k;0;0.3958;0.625;0.5;0.5417;0.5208;0.5833
323;wrause;r ao s;0;0.4792;0.4375;0.6875;0.625;0.5833;0.5208
324;wrelt;r eh l t;0;0.5833;0.5208;0.5;0.4375;0.4375;0.3125
325;wrilge;r ih l jh;0;0.625;0.5208;0.4792;0.5833;0.625;0.5
326;wrorgue;r ao r g;0;0.3125;0.5417;0.7083;0.625;0.8542;0.4375
327;wruse;r uw s;0;0.4792;0.6042;0.5417;0.5417;0.6042;0.625
328;yage;y ey jh;0;0.3542;0.625;0.625;0.5833;0.6667;0.4583
329;yealt;y iy l t;0;0.3542;0.5208;0.4583;0.4167;0.6458;0.4375
330;yirp;y er p;0;0.4375;0.5625;0.4167;0.5417;0.4167;0.5417
331;yourse;y uw r s;0;0.6458;0.3542;0.25;0.3333;0.5208;0.5208
332;yurch;y er ch;0;0.5625;0.5;0.4792;0.5208;0.4583;0.5625
333;zant;z ae n t;0;0.5417;0.3542;0.4375;0.4792;0.4792;0.5
334;zany;z ey n iy;1;0.7708;0.0625;0.2708;0.3542;0.125;0.5417
335;zel;z eh l;0;0.6667;0.375;0.5417;0.2083;0.3958;0.75
336;zerge;z er jh;0;0.6667;0.3333;0.4375;0.4167;0.4375;0.5625
337;zorce;z ao r s;0;0.4583;0.5833;0.7917;0.6667;0.625;0.625
338;zourse;z ow r s;0;0.5625;0.3958;0.5833;0.5208;0.375;0.6458
339;zunch;z ah n ch;0;0.4583;0.6667;0.625;0.7292;0.7083;0.4375
